sim,auroc,auprc
597,0.656419825,0.179521936
598,0.642553328,0.164285786
599,0.642128127,0.163829829
600,0.647765169,0.170376556
601,0.645514845,0.169276288
602,0.651373232,0.168172591
603,0.644677683,0.168554617
604,0.647259924,0.162460301
605,0.645382965,0.167534054
606,0.646608823,0.169312679
607,0.642062792,0.164517167
608,0.642200212,0.162302168
609,0.63961747,0.159586708
610,0.647483364,0.165003804
611,0.64417199,0.163367068
612,0.648599119,0.165897203
613,0.641604631,0.160201837
614,0.647960229,0.172612113
615,0.646899881,0.167266817
616,0.646744519,0.164690339
617,0.648611562,0.166690933
618,0.649269381,0.167022402
619,0.647932789,0.166488919
620,0.651193233,0.169877274
621,0.642921754,0.162121995
622,0.648752639,0.166105944
623,0.639427998,0.160581642
624,0.646114462,0.169077072
625,0.64826229,0.165576822
626,0.644437835,0.1645172
627,0.643594412,0.164096318
628,0.646045734,0.167799844
629,0.646023204,0.165939363
630,0.656732216,0.176788056
631,0.647465038,0.167349513
632,0.654371235,0.169938622
633,0.654395766,0.169857879
634,0.644765355,0.162039836
635,0.647269643,0.166077284
636,0.651151314,0.168246515
637,0.645801747,0.167050921
638,0.651750542,0.166764904
639,0.651323859,0.168820031
640,0.64482174,0.16463313
641,0.646517244,0.163043668
642,0.647320416,0.164009767
643,0.643168575,0.164177829
644,0.639270252,0.160750348
645,0.648357861,0.165087761
646,0.645395271,0.169635705
647,0.649713974,0.168730005
648,0.641928894,0.165482206
649,0.644897112,0.167862618
650,0.640824464,0.164143711
651,0.647075621,0.167679092
652,0.643337897,0.167446877
653,0.638959514,0.161681572
654,0.649047271,0.168371077
655,0.648338327,0.167721779
656,0.645658872,0.167677272
657,0.6450267,0.165091823
658,0.644171565,0.16481358
659,0.654437512,0.174111156
660,0.64491058,0.168729406
661,0.646063427,0.167310003
662,0.646170338,0.165871351
663,0.65217894,0.169731832
664,0.641528499,0.163634314
665,0.651771991,0.167640323
666,0.645410725,0.165500165
667,0.648097361,0.167178982
668,0.644617958,0.16430859
669,0.644801303,0.162734911
670,0.648765892,0.17002374
671,0.654805063,0.170983265
672,0.648769849,0.172640739
673,0.645730765,0.165052329
674,0.64731304,0.162301129
675,0.643028792,0.165131498
676,0.650124832,0.170724519
677,0.64604173,0.169207808
678,0.653345465,0.16760364
679,0.642138399,0.165066921
680,0.647121604,0.162748368
681,0.650206524,0.167370747
682,0.645400293,0.169626056
683,0.644894475,0.164491111
684,0.647802468,0.167854177
685,0.643240905,0.162223873
686,0.645195999,0.159876487
687,0.639524131,0.158657338
688,0.647251465,0.169309819
689,0.644833345,0.163340264
690,0.644719354,0.160763728
691,0.648938492,0.168875053
692,0.651911056,0.172164348
693,0.640744346,0.161436394
694,0.646487218,0.165878449
695,0.645774194,0.163556855
696,0.652019163,0.166724348
697,0.64698607,0.16772397
698,0.645865383,0.167033391
699,0.645639519,0.163224238
700,0.65064917,0.169638906
