iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
159,FALSE,"0.2, 44",0.6289323960843524,0.6130798168152186,0.14324754223062156,"0.26, 25",0.13903325124290158,0.6091099447590836,0.13944302739557723
160,FALSE,"0.07, 92",0.6152121309082182,0.6260204355100001,0.14969861349013933,"0.03, 81",0.15548344868711406,0.6268570098134638,0.15128210678352635
161,TRUE,"0.13, 40",0.6214322008129821,0.619700808618247,0.14215500046235757,"0.13, 40",0.14538184729781106,0.619700808618247,0.14215500046235757
162,TRUE,"0.12, 39",0.6454855887718849,0.6214696858216484,0.1549905637467068,"0.12, 39",0.15508337440333564,0.6214696858216484,0.1549905637467068
163,FALSE,"0.1, 139",0.6016668499835015,0.6057439907089285,0.1449560058651136,"0.12, 93",0.14076805599127065,0.6086676827079196,0.1468864412517308
164,TRUE,"0.04, 110",0.6111174994250518,0.6208001732482267,0.14435557148194636,"0.04, 110",0.15231357105359875,0.6208001732482267,0.14435557148194636
165,FALSE,"0.2, 135",0.5997830195282424,0.599327092592577,0.13629347785937412,"0.26, 82",0.1411063991140856,0.6040535799793101,0.13713607904407887
166,FALSE,"0.03, 84",0.643815556599906,0.6243183856056801,0.15713893643607937,"0.01, 98",0.14952071897902364,0.6231649720955801,0.15880052822539242
167,TRUE,"0.05, 49",0.6440725334719876,0.6332330789642046,0.1541491536900944,"0.05, 49",0.15807972915915602,0.6332330789642046,0.1541491536900944
168,TRUE,"0.04, 119",0.6181998620124188,0.6171548508744629,0.14195093158050337,"0.04, 119",0.15773503116275273,0.6171548508744629,0.14195093158050337
169,TRUE,"0.13, 84",0.6553680168784809,0.6234546926614944,0.15204547389440848,"0.13, 84",0.16745359083810032,0.6234546926614944,0.15204547389440848
170,TRUE,"0.22, 45",0.6127743503084723,0.6166480023954416,0.1525340827808899,"0.22, 45",0.15408383666191086,0.6166480023954416,0.1525340827808899
171,TRUE,"0.06, 96",0.6086747192752652,0.6216289038791359,0.1515793840614273,"0.06, 96",0.14532452310522204,0.6216289038791359,0.1515793840614273
172,FALSE,"0.1, 28",0.633480986711196,0.6320000522535508,0.15007995432633953,"0.02, 117",0.16447097083230178,0.6320711427952385,0.15053760923867757
173,FALSE,"0.04, 117",0.6328635422811947,0.6127306136337048,0.14515714417695727,"0.18, 93",0.16109918300543666,0.5967705086023483,0.13773723139386573
174,TRUE,"0.08, 45",0.6419653828599515,0.6345868390245492,0.1553468975766036,"0.08, 45",0.16869866788395596,0.6345868390245492,0.1553468975766036
175,TRUE,"0.12, 41",0.6450074493295603,0.6183245280724482,0.15237468568002688,"0.12, 41",0.1665411985901504,0.6183245280724482,0.15237468568002688
176,FALSE,"0.03, 63",0.6186597519322303,0.6210563035165876,0.1533806326985885,"0.1, 69",0.1465454708898087,0.6163758026579588,0.14940755383189744
177,FALSE,"0.1, 70",0.621727044565989,0.6201801676766728,0.15220677216548031,"0.08, 65",0.15623557133858704,0.6206249083757273,0.1530014650182178
178,FALSE,"0.2, 49",0.6115919966072401,0.6135619918612036,0.14820859082822854,"0.05, 41",0.13097008000453453,0.6203154853218692,0.15042961589462714
